t,ax,ay,az
4496.725000,0.060059,0.064453,1.043701
4496.736000,0.056641,0.060791,1.041260
4496.748000,0.060791,0.067383,1.041504
4496.759000,0.062500,0.063965,1.031738
4496.769000,0.060791,0.062256,1.037109
4496.781000,0.055420,0.060791,1.041016
4496.792000,0.060303,0.061035,1.037109
4496.806000,0.062012,0.063477,1.041016
4496.818000,0.063477,0.066406,1.040527
4496.830000,0.061523,0.065186,1.035400
4496.841000,0.056885,0.066895,1.048096
4496.852000,0.060547,0.062744,1.033203
4496.863000,0.058105,0.064941,1.038086
4496.874000,0.054443,0.065186,1.039551
4496.885000,0.056641,0.063721,1.037842
4496.896000,0.057373,0.062988,1.038574
4496.907000,0.057617,0.062012,1.038818
4496.919000,0.060547,0.061035,1.038086
4496.930000,0.055664,0.062988,1.038574
4496.941000,0.060059,0.063965,1.037109
4496.953000,0.061279,0.061035,1.035644
4496.964000,0.057129,0.066406,1.056641
4496.975000,0.058838,0.068115,1.041260
4496.987000,0.059326,0.062256,1.043701
4496.998000,0.059570,0.067627,1.041748
4497.009000,0.060547,0.062744,1.043701
4497.020000,0.053711,0.068604,1.046875
4497.031000,0.058838,0.062988,1.039795
4497.043000,0.057861,0.064453,1.034424
4497.054000,0.056396,0.068604,1.042969
4497.065000,0.059326,0.065430,1.041260
4497.076000,0.055176,0.066162,1.039062
4497.087000,0.057861,0.063721,1.040283
4497.101000,0.059326,0.065430,1.040283
4497.113000,0.060547,0.061279,1.036133
4497.124000,0.061768,0.065918,1.045654
4497.135000,0.057861,0.065918,1.037598
4497.146000,0.059814,0.066162,1.035644
4497.158000,0.057373,0.070312,1.056152
4497.169000,0.056641,0.064453,1.038574
4497.180000,0.061035,0.059082,1.025391
4497.191000,0.059082,0.065430,1.036621
4497.203000,0.059570,0.061279,1.031738
4497.214000,0.060791,0.066895,1.041504
4497.225000,0.058105,0.066162,1.044434
4497.237000,0.059082,0.065186,1.039062
4497.248000,0.055908,0.064697,1.032715
4497.259000,0.060791,0.064941,1.043457
4497.271000,0.056152,0.069824,1.038818
4497.282000,0.057373,0.068115,1.037354
4497.293000,0.057373,0.063965,1.038330
4497.305000,0.058594,0.065918,1.038330
4497.316000,0.057373,0.060303,1.034912
4497.327000,0.053223,0.062256,1.043213
4497.338000,0.060059,0.067139,1.037109
4497.349000,0.062256,0.066895,1.042969
4497.360000,0.060547,0.060791,1.042480
4497.371000,0.059326,0.062988,1.037109
4497.383000,0.056885,0.062500,1.041260
4497.426000,0.060059,0.062744,1.041260
4497.438000,0.062012,0.060059,1.038818
4497.449000,0.059814,0.063965,1.045898
4497.461000,0.055908,0.061035,1.034668
4497.472000,0.058838,0.063721,1.038574
4497.483000,0.057861,0.070312,1.043213
4497.495000,0.061035,0.062500,1.035889
4497.506000,0.055908,0.067383,1.037109
4497.516000,0.056641,0.064697,1.039062
4497.527000,0.058105,0.066406,1.041504
4497.538000,0.058105,0.065186,1.041260
4497.550000,0.055420,0.064453,1.036865
4497.561000,0.059082,0.065674,1.033203
4497.572000,0.061279,0.068115,1.034912
4497.583000,0.055908,0.058350,1.038818
4497.601000,0.059082,0.065186,1.040039
4497.612000,0.059326,0.063232,1.043213
4497.624000,0.062744,0.068604,1.036865
4497.634000,0.056885,0.066406,1.040527
4497.645000,0.055420,0.065674,1.040772
4497.657000,0.056641,0.064697,1.039795
4497.668000,0.055420,0.065186,1.046631
4497.679000,0.057861,0.063965,1.033447
4497.691000,0.060547,0.065186,1.040039
4497.702000,0.058594,0.064697,1.041260
4497.713000,0.058838,0.064209,1.034912
4497.727000,0.061279,0.063965,1.041748
4497.739000,0.059082,0.065186,1.044434
4497.750000,0.056641,0.064453,1.037354
4497.760000,0.062988,0.067871,1.043701
4497.771000,0.059814,0.064697,1.039307
4497.782000,0.057129,0.064697,1.036377
4497.794000,0.062500,0.071289,1.034912
4497.804000,0.060791,0.066162,1.042236
4497.815000,0.058838,0.064941,1.037842
4497.827000,0.054932,0.063232,1.039062
4497.838000,0.059082,0.063232,1.040039
4497.849000,0.060059,0.063232,1.035400
4497.861000,0.062744,0.065918,1.041504
4497.872000,0.063965,0.066895,1.035889
4497.884000,0.060059,0.062012,1.040772
4497.894000,0.060059,0.063232,1.040772
4497.905000,0.057617,0.065674,1.042236
4497.916000,0.061035,0.067871,1.039062
4497.928000,0.059082,0.069824,1.041016
4497.939000,0.057861,0.063477,1.031738
4497.950000,0.056152,0.062988,1.043457
