t,ax,ay,az
4523.736000,1.033447,-0.018799,-0.030273
4523.747000,1.036133,-0.020020,-0.027588
4523.758000,1.033691,-0.021973,-0.032471
4523.769000,1.034424,-0.018555,-0.028564
4523.780000,1.034180,-0.014160,-0.030029
4523.791000,1.038086,-0.020264,-0.026611
4523.803000,1.033447,-0.019531,-0.034912
4523.814000,1.033936,-0.020020,-0.032471
4523.825000,1.034912,-0.021240,-0.033203
4523.837000,1.033691,-0.017578,-0.029785
4523.848000,1.034180,-0.019531,-0.031250
4523.859000,1.031982,-0.019287,-0.032715
4523.872000,1.035400,-0.018311,-0.032227
4523.884000,1.037109,-0.016113,-0.034180
4523.895000,1.033203,-0.013184,-0.032959
4523.906000,1.035889,-0.013916,-0.026367
4523.917000,1.036865,-0.017334,-0.034424
4523.928000,1.036377,-0.017578,-0.038086
4523.939000,1.034668,-0.016846,-0.038574
4523.950000,1.037354,-0.021484,-0.033936
4523.961000,1.033691,-0.022217,-0.040283
4523.972000,1.037598,-0.014893,-0.034424
4523.983000,1.034912,-0.020020,-0.024414
4523.994000,1.033203,-0.017090,-0.033203
4524.005000,1.030762,-0.015625,-0.029785
4524.017000,1.036133,-0.019043,-0.029785
4524.028000,1.033691,-0.018066,-0.026855
4524.040000,1.037354,-0.021240,-0.028809
4524.051000,1.035156,-0.018311,-0.030273
4524.062000,1.032471,-0.022461,-0.031006
4524.073000,1.036621,-0.018555,-0.029297
4524.085000,1.032227,-0.020508,-0.025635
4524.096000,1.034668,-0.018311,-0.018066
4524.107000,1.036133,-0.011719,-0.027344
4524.118000,1.034668,-0.016113,-0.024902
4524.130000,1.034180,-0.015625,-0.026855
4524.141000,1.039062,-0.016602,-0.036133
4524.155000,1.033447,-0.017090,-0.026123
4524.166000,1.034668,-0.017090,-0.038574
4524.177000,1.033691,-0.016357,-0.035400
4524.188000,1.035644,-0.023193,-0.033691
4524.199000,1.033447,-0.016602,-0.029297
4524.210000,1.037598,-0.018799,-0.024170
4524.221000,1.038086,-0.015625,-0.035889
4524.233000,1.039307,-0.014648,-0.028320
4524.244000,1.033447,-0.020020,-0.030762
4524.255000,1.033447,-0.018799,-0.020752
4524.267000,1.034668,-0.014648,-0.026367
4524.278000,1.036865,-0.018311,-0.030762
4524.289000,1.031982,-0.019531,-0.029785
4524.301000,1.035400,-0.021484,-0.036621
