t,ax,ay,az
4510.161000,0.080811,-0.022949,-1.017090
4510.173000,0.082031,-0.029053,-1.014160
4510.184000,0.083740,-0.026123,-0.997559
4510.195000,0.083740,-0.032471,-1.001709
4510.207000,0.084961,-0.027588,-1.006104
4510.218000,0.087402,-0.026855,-1.003174
4510.229000,0.087158,-0.026611,-1.000244
4510.241000,0.087158,-0.028076,-1.000000
4510.251000,0.086670,-0.035156,-0.991943
4510.262000,0.086426,-0.031006,-0.996338
4510.273000,0.085693,-0.026123,-1.000977
4510.284000,0.081543,-0.031006,-1.006348
4510.298000,0.085449,-0.031006,-1.000977
4510.310000,0.088135,-0.026367,-0.997314
4510.321000,0.087646,-0.028320,-1.000732
4510.332000,0.089355,-0.028320,-1.004883
4510.343000,0.085693,-0.035400,-1.006104
4510.355000,0.086670,-0.027832,-1.010254
4510.366000,0.083740,-0.030518,-0.997559
4510.377000,0.085693,-0.027588,-0.999512
4510.389000,0.086426,-0.029053,-0.998047
4510.400000,0.086670,-0.030273,-1.000977
4510.411000,0.087646,-0.029053,-1.002197
4510.422000,0.085449,-0.028564,-1.007080
4510.433000,0.088135,-0.031006,-1.001465
4510.444000,0.089355,-0.028564,-1.000244
4510.455000,0.085938,-0.031250,-0.995117
4510.466000,0.088379,-0.029541,-0.999023
4510.477000,0.083252,-0.027832,-1.005127
4510.489000,0.087158,-0.028076,-1.007812
4510.500000,0.079346,-0.030762,-1.000244
4510.511000,0.083252,-0.030273,-1.006104
4510.522000,0.086182,-0.029541,-1.001709
4510.533000,0.087402,-0.029297,-0.997070
4510.544000,0.088379,-0.032471,-0.991943
4510.555000,0.088135,-0.032959,-0.999756
4510.567000,0.083984,-0.030518,-1.000488
4510.581000,0.086426,-0.030518,-1.001221
4510.593000,0.087158,-0.034668,-1.006592
4510.605000,0.086426,-0.027832,-1.000977
4510.616000,0.086670,-0.027344,-0.997803
4510.627000,0.084717,-0.028564,-0.997559
4510.639000,0.086914,-0.029053,-1.009522
4510.650000,0.086670,-0.028809,-1.008789
